record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
34,CelcomDigi,Canada,North America,roaming,6.0,11.0,1.0,1,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
35,CelcomDigi,Cape Verde,Other,roaming,,,,238,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
36,CelcomDigi,Cayman Islands,Other,roaming,6.0,11.0,1.0,1345,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
37,CelcomDigi,Chad,Other,roaming,,,,235,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
38,CelcomDigi,Chile,South America,roaming,6.0,11.0,1.0,56,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
39,CelcomDigi,China,East Asia,roaming,6.0,7.0,1.0,86,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
40,CelcomDigi,Colombia,Other,roaming,6.0,11.0,1.0,57,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
41,CelcomDigi,Congo,Other,roaming,6.0,11.0,1.0,243,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
42,CelcomDigi,Costa Rica,Other,roaming,6.0,11.0,1.0,506,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
43,CelcomDigi,Croatia,Other,roaming,6.0,11.0,1.0,385,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
44,CelcomDigi,Cuba,Other,roaming,,,,53,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
45,CelcomDigi,Curacao,Other,roaming,6.0,11.0,1.0,599,,False,to_other=10.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
46,CelcomDigi,Cyprus,Other,roaming,6.0,11.0,1.0,357,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
47,CelcomDigi,Czech Republic,Other,roaming,6.0,11.0,1.0,420,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
48,CelcomDigi,Denmark,Europe,roaming,6.0,11.0,1.0,45,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
49,CelcomDigi,Djibouti,Other,roaming,,,,253,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
50,CelcomDigi,Domincan Republic,Other,roaming,6.0,11.0,1.0,1809,,False,to_other=16.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
51,CelcomDigi,Dominica,Other,roaming,6.0,11.0,1.0,1767,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
52,CelcomDigi,Ecuador,Other,roaming,6.0,11.0,1.0,593,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
53,CelcomDigi,Egypt,Middle East,roaming,6.0,11.0,1.0,20,,False,to_other=15.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
54,CelcomDigi,El Salvador,Other,roaming,6.0,11.0,1.0,503,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
55,CelcomDigi,Estonia,Other,roaming,6.0,11.0,1.0,372,,False,to_other=12.0/min; receiving=6.0/min,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
56,CelcomDigi,Ethiopia,Other,roaming,,,,251,,False,,https://www.celcomdigi.com/roaming/multi-day-pass#check,2026-05-17T20:12:16
