record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
158,Maxis,Iraq,Middle East,postpaid,4.8,4.8,0.5,IDD 132: RM1.3325/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
159,Maxis,Ireland,Europe,prepaid,2.39,0.99,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
160,Maxis,Ireland,Europe,postpaid,2.88,2.88,0.5,IDD 132 Fixed: RM0.1975/min; Mobile: RM1.0625/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
161,Maxis,Italy,Europe,prepaid,0.99,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
162,Maxis,Italy,Europe,postpaid,1.2,1.2,0.5,IDD 132 Fixed: RM0.18/min; Mobile: RM0.935/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
163,Maxis,Jamaica,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
164,Maxis,Jamaica,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
165,Maxis,Japan,East Asia,prepaid,2.4,2.4,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
166,Maxis,Japan,East Asia,postpaid,2.4,2.4,0.5,IDD 132 Fixed: RM0.1975/min; Mobile: RM0.54/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
167,Maxis,Jordan,Middle East,prepaid,3.0,3.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
168,Maxis,Jordan,Middle East,postpaid,3.6,3.6,0.5,IDD 132: RM1.0625/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
169,Maxis,Kazakhstan,Central Asia,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
