record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
34,Maxis,Bangladesh,South Asia,postpaid,2.88,2.88,0.5,IDD 132: RM0.1625/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
35,Maxis,Barbados,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
36,Maxis,Barbados,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
37,Maxis,Belarus,Europe,prepaid,4.0,4.0,,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
38,Maxis,Belarus,Europe,postpaid,4.8,4.8,,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
39,Maxis,Belgium,Europe,prepaid,2.4,2.4,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
40,Maxis,Belgium,Europe,postpaid,2.88,2.88,0.5,IDD 132 Fixed: RM0.1975/min; Mobile: RM1.025/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
41,Maxis,Bermuda,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
42,Maxis,Bermuda,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
43,Maxis,Bhutan,South Asia,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
44,Maxis,Bhutan,South Asia,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
45,Maxis,Bolivia,South America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
46,Maxis,Bolivia,South America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
47,Maxis,Botswana,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
48,Maxis,Botswana,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM1.3325/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
49,Maxis,Brazil,South America,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
50,Maxis,Brazil,South America,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
51,Maxis,Brunei,Southeast Asia,prepaid,2.0,2.0,0.3,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
52,Maxis,Brunei,Southeast Asia,postpaid,2.4,2.4,0.5,IDD 132: RM0.18/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
53,Maxis,Bulgaria,Europe,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
54,Maxis,Bulgaria,Europe,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
55,Maxis,Cambodia,Southeast Asia,prepaid,0.98,0.98,0.3,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
56,Maxis,Cambodia,Southeast Asia,postpaid,2.4,2.4,0.5,IDD 132: RM0.305/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
57,Maxis,Cameroon,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
58,Maxis,Cameroon,Africa,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
59,Maxis,Canada,North America,prepaid,0.2,0.2,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
60,Maxis,Canada,North America,postpaid,1.2,1.2,0.5,IDD 132: RM0.1625/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
61,Maxis,Cayman Islands,Caribbean,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
62,Maxis,Cayman Islands,Caribbean,postpaid,4.8,4.8,0.5,IDD 132: RM2.34/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
63,Maxis,Central African Republic,Africa,prepaid,5.0,5.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
64,Maxis,Central African Republic,Africa,postpaid,6.0,6.0,0.5,IDD 132: RM4.085/min; Dial: 132 00 <country code> <area code> <phone number>,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
65,Maxis,Chad,Africa,prepaid,4.0,4.0,0.5,,https://www.maxis.com.my/idd/,2026-05-18T01:34:06
