record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
38,Unifi,Hungary,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
39,Unifi,Iceland,Europe,roaming,48.0,48.0,7.3,,,False,to_other=48.0/min; incoming=25.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
40,Unifi,India,South Asia,roaming,5.0,15.5,2.0,,,False,to_other=25.0/min; incoming=5.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
41,Unifi,Indonesia,Southeast Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
42,Unifi,Iraq,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
43,Unifi,Ireland,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
44,Unifi,Isle of Man (United Kingdom),Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
45,Unifi,Italy,Europe,roaming,5.5,15.5,2.0,,,False,to_other=25.0/min; incoming=4.8/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
46,Unifi,Japan,East Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
47,Unifi,Jersey (United Kingdom),Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
48,Unifi,Jordan,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
49,Unifi,Kazakhstan,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
50,Unifi,Kenya,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
51,Unifi,Kuwait,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
52,Unifi,Laos,Southeast Asia,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
53,Unifi,Latvia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
54,Unifi,Liechtenstein,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
55,Unifi,Lithuania,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
56,Unifi,Luxembourg,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
57,Unifi,Macau,East Asia,roaming,3.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
58,Unifi,Mexico,North America,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
59,Unifi,Mongolia,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
60,Unifi,Montenegro,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
61,Unifi,Nauru,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
62,Unifi,Nepal,South Asia,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
63,Unifi,Netherlands,Europe,roaming,4.0,7.9,1.5,,,False,to_other=25.0/min; incoming=3.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
64,Unifi,New Zealand,Oceania,roaming,5.0,6.0,1.5,,,False,to_other=25.0/min; incoming=4.0/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
65,Unifi,Nicaragua,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
66,Unifi,Norway,Europe,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
67,Unifi,Oman,Middle East,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
68,Unifi,Palestine,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
69,Unifi,Papua New Guinea,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
70,Unifi,Paraguay,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
71,Unifi,Peru,Other,roaming,7.3,24.0,2.5,,,False,to_other=25.0/min; incoming=7.3/min,https://unifi.com.my/mobile/roaming,2026-05-17T20:12:16
