record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,country_code,access_code,plan_specific,notes,source_url,scraped_at
257,U Mobile,Marshall Islands,Other,prepaid,4.38,4.38,0.35,692.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
258,U Mobile,Marshall Islands,Other,postpaid,4.38,4.38,0.35,692.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
259,U Mobile,Martinique,Other,prepaid,3.38,3.38,0.35,596.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
260,U Mobile,Martinique,Other,postpaid,3.38,3.38,0.35,596.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
261,U Mobile,Mauritania,Other,prepaid,3.38,3.38,0.35,222.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
262,U Mobile,Mauritania,Other,postpaid,3.38,3.38,0.35,222.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
263,U Mobile,Mauritius,Other,prepaid,1.38,1.38,0.35,230.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
264,U Mobile,Mauritius,Other,postpaid,1.38,1.38,0.35,230.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
265,U Mobile,Mayotte,Other,prepaid,3.38,3.38,0.35,262.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
266,U Mobile,Mayotte,Other,postpaid,3.38,3.38,0.35,262.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
267,U Mobile,Mexico,North America,prepaid,3.38,3.38,0.35,52.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
268,U Mobile,Mexico,North America,postpaid,3.38,3.38,0.35,52.0,133,False,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
