brand,country,country_slug,plan_type,countryCode,callRateFixed,callRateMobile,smsRate,sms_rate_myr,source_url
Yes,Guinea Republic,guinea-republic,prepaid,224,2.70,2.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Guinea Republic,guinea-republic,postpaid,224,2.70,2.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Guyana,guyana,prepaid,592,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Guyana,guyana,postpaid,592,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Haiti,haiti,prepaid,509,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Haiti,haiti,postpaid,509,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Honduras,honduras,prepaid,504,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Honduras,honduras,postpaid,504,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Hong Kong,hong-kong,prepaid,852,0.18,0.18,0.48,0.48,https://www.yes.my/roaming/
Yes,Hong Kong,hong-kong,postpaid,852,0.18,0.18,0.48,0.48,https://www.yes.my/roaming/
Yes,Hungary,hungary,prepaid,36,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Hungary,hungary,postpaid,36,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Iceland,iceland,prepaid,354,2.28,2.28,0.38,0.38,https://www.yes.my/roaming/
Yes,Iceland,iceland,postpaid,354,2.28,2.28,0.38,0.38,https://www.yes.my/roaming/
Yes,India,india,prepaid,91,0.08,0.08,0.48,0.48,https://www.yes.my/roaming/
Yes,India,india,postpaid,91,0.14,0.14,0.48,0.48,https://www.yes.my/roaming/
Yes,Indonesia,indonesia,prepaid,62,0.19,0.19,0.48,0.48,https://www.yes.my/roaming/
Yes,Indonesia,indonesia,postpaid,62,0.22,0.25,0.48,0.48,https://www.yes.my/roaming/
Yes,Iran,iran,prepaid,98,1.36,1.36,0.28,0.28,https://www.yes.my/roaming/
Yes,Iran,iran,postpaid,98,1.36,1.36,0.28,0.28,https://www.yes.my/roaming/
Yes,Iraq,iraq,prepaid,964,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Iraq,iraq,postpaid,964,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Ireland,ireland,prepaid,353,2.50,2.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Ireland,ireland,postpaid,353,2.50,2.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Ireland - Special Service,ireland-special-service,prepaid,353,2.50,2.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Ireland - Special Service,ireland-special-service,postpaid,353,2.50,2.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Israel,israel,prepaid,972,1.50,1.50,0.38,0.38,https://www.yes.my/roaming/
Yes,Israel,israel,postpaid,972,1.50,1.50,0.38,0.38,https://www.yes.my/roaming/
Yes,Italy,italy,prepaid,39,1.70,1.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Italy,italy,postpaid,39,1.70,1.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Ivory Coast,ivory-coast,prepaid,225,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Ivory Coast,ivory-coast,postpaid,225,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Jamaica,jamaica,prepaid,1876,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Jamaica,jamaica,postpaid,1876,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Japan,japan,prepaid,81,0.28,0.98,0.48,0.48,https://www.yes.my/roaming/
Yes,Japan,japan,postpaid,81,0.28,0.98,0.48,0.48,https://www.yes.my/roaming/
Yes,Jordan,jordan,prepaid,962,1.38,1.38,0.28,0.28,https://www.yes.my/roaming/
Yes,Jordan,jordan,postpaid,962,1.38,1.38,0.28,0.28,https://www.yes.my/roaming/
Yes,Kazakhstan,kazakhstan,prepaid,7,3.60,3.60,0.48,0.48,https://www.yes.my/roaming/
Yes,Kazakhstan,kazakhstan,postpaid,7,3.60,3.60,0.48,0.48,https://www.yes.my/roaming/
Yes,Kenya,kenya,prepaid,254,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Kenya,kenya,postpaid,254,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Kiribati Republic,kiribati-republic,prepaid,686,15.00,15.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Kiribati Republic,kiribati-republic,postpaid,686,15.00,15.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Korea North,korea-north,prepaid,850,7.70,7.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Korea North,korea-north,postpaid,850,7.70,7.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Korea South,korea-south,prepaid,82,0.18,0.43,0.18,0.18,https://www.yes.my/roaming/
Yes,Korea South,korea-south,postpaid,82,0.18,0.43,0.18,0.18,https://www.yes.my/roaming/
Yes,Kuwait,kuwait,prepaid,965,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Kuwait,kuwait,postpaid,965,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Kyrgyzstan,kyrgyzstan,prepaid,996,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Kyrgyzstan,kyrgyzstan,postpaid,996,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Laos,laos,prepaid,856,0.98,0.98,0.18,0.18,https://www.yes.my/roaming/
Yes,Laos,laos,postpaid,856,0.98,0.98,0.18,0.18,https://www.yes.my/roaming/
Yes,Latvia,latvia,prepaid,371,5.00,5.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Latvia,latvia,postpaid,371,5.00,5.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Lebanon,lebanon,prepaid,961,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Lebanon,lebanon,postpaid,961,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Lesotho,lesotho,prepaid,266,5.80,5.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Lesotho,lesotho,postpaid,266,5.80,5.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Liberia,liberia,prepaid,231,2.50,2.50,0.38,0.38,https://www.yes.my/roaming/
Yes,Liberia,liberia,postpaid,231,2.50,2.50,0.38,0.38,https://www.yes.my/roaming/
Yes,Libya,libya,prepaid,218,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Libya,libya,postpaid,218,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Liechtenstein,liechtenstein,prepaid,423,10.00,10.00,0.28,0.28,https://www.yes.my/roaming/
Yes,Liechtenstein,liechtenstein,postpaid,423,10.00,10.00,0.28,0.28,https://www.yes.my/roaming/
Yes,Lithuania,lithuania,prepaid,370,5.00,5.00,0.28,0.28,https://www.yes.my/roaming/
Yes,Lithuania,lithuania,postpaid,370,5.00,5.00,0.28,0.28,https://www.yes.my/roaming/
Yes,Luxembourg,luxembourg,prepaid,352,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Luxembourg,luxembourg,postpaid,352,1.50,1.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Macau,macau,prepaid,853,0.80,0.80,0.18,0.18,https://www.yes.my/roaming/
Yes,Macau,macau,postpaid,853,0.80,0.80,0.18,0.18,https://www.yes.my/roaming/
Yes,Macedonia,macedonia,prepaid,389,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Macedonia,macedonia,postpaid,389,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Madagascar,madagascar,prepaid,261,4.40,4.40,0.48,0.48,https://www.yes.my/roaming/
Yes,Madagascar,madagascar,postpaid,261,4.40,4.40,0.48,0.48,https://www.yes.my/roaming/
Yes,Malawi,malawi,prepaid,265,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Malawi,malawi,postpaid,265,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Maldives,maldives,prepaid,960,7.50,7.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Maldives,maldives,postpaid,960,7.50,7.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Mali,mali,prepaid,223,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Mali,mali,postpaid,223,2.20,2.20,0.38,0.38,https://www.yes.my/roaming/
Yes,Malta,malta,prepaid,356,2.40,2.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Malta,malta,postpaid,356,2.40,2.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Marianas Islands,marianas-islands,prepaid,1670,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Marianas Islands,marianas-islands,postpaid,1670,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Marshall Islands,marshall-islands,prepaid,692,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Marshall Islands,marshall-islands,postpaid,692,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Martinique,martinique,prepaid,596,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Martinique,martinique,postpaid,596,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Mauritania,mauritania,prepaid,222,4.80,4.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Mauritania,mauritania,postpaid,222,4.80,4.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Mauritius,mauritius,prepaid,230,1.38,1.38,0.38,0.38,https://www.yes.my/roaming/
Yes,Mauritius,mauritius,postpaid,230,1.38,1.38,0.38,0.38,https://www.yes.my/roaming/
Yes,Mayotte,mayotte,prepaid,262,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Mayotte,mayotte,postpaid,262,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Mexico,mexico,prepaid,52,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Mexico,mexico,postpaid,52,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Micronesia,micronesia,prepaid,691,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Micronesia,micronesia,postpaid,691,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Moldova,moldova,prepaid,373,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Moldova,moldova,postpaid,373,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Monaco,monaco,prepaid,377,2.70,2.70,0.38,0.38,https://www.yes.my/roaming/
Yes,Monaco,monaco,postpaid,377,2.70,2.70,0.38,0.38,https://www.yes.my/roaming/
Yes,Mongolia,mongolia,prepaid,976,2.80,2.80,0.18,0.18,https://www.yes.my/roaming/
Yes,Mongolia,mongolia,postpaid,976,2.80,2.80,0.18,0.18,https://www.yes.my/roaming/
Yes,Montenegro,montenegro,prepaid,382,2.90,2.90,0.28,0.28,https://www.yes.my/roaming/
Yes,Montenegro,montenegro,postpaid,382,2.90,2.90,0.28,0.28,https://www.yes.my/roaming/
Yes,Montserrat,montserrat,prepaid,1664,4.00,4.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Montserrat,montserrat,postpaid,1664,4.00,4.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Morocco,morocco,prepaid,212,3.30,3.30,0.48,0.48,https://www.yes.my/roaming/
Yes,Morocco,morocco,postpaid,212,3.30,3.30,0.48,0.48,https://www.yes.my/roaming/
Yes,Mozambique,mozambique,prepaid,258,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Mozambique,mozambique,postpaid,258,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Myanmar,myanmar,prepaid,95 - Fixed Call </br> 959 - Mobile Call,1.50,1.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Myanmar,myanmar,postpaid,95 - Fixed Call </br> 959 - Mobile Call,1.50,1.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Namibia,namibia,prepaid,264,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Namibia,namibia,postpaid,264,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Nauru,nauru,prepaid,674,11.15,11.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Nauru,nauru,postpaid,674,11.15,11.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Nepal,nepal,prepaid,977,0.95,0.95,0.35,0.35,https://www.yes.my/roaming/
Yes,Nepal,nepal,postpaid,977,0.95,0.95,0.35,0.35,https://www.yes.my/roaming/
Yes,Netherlands,netherlands,prepaid,31,1.50,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Netherlands,netherlands,postpaid,31,1.50,2.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Netherlands Antilles,netherlands-antilles,prepaid,599,1.80,1.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Netherlands Antilles,netherlands-antilles,postpaid,599,1.80,1.80,0.48,0.48,https://www.yes.my/roaming/
Yes,New Caledonia,new-caledonia,prepaid,687,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,New Caledonia,new-caledonia,postpaid,687,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,New Zealand,new-zealand,prepaid,64,0.18,0.93,0.48,0.48,https://www.yes.my/roaming/
Yes,New Zealand,new-zealand,postpaid,64,0.18,0.93,0.48,0.48,https://www.yes.my/roaming/
Yes,Nicaragua,nicaragua,prepaid,505,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Nicaragua,nicaragua,postpaid,505,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Niger,niger,prepaid,227,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Niger,niger,postpaid,227,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Nigeria,nigeria,prepaid,234,1.28,1.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Nigeria,nigeria,postpaid,234,1.28,1.28,0.48,0.48,https://www.yes.my/roaming/
Yes,Niue Island,niue-island,prepaid,683,15.00,15.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Niue Island,niue-island,postpaid,683,15.00,15.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Norfolk Island,norfolk-island,prepaid,672,9.20,9.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Norfolk Island,norfolk-island,postpaid,672,9.20,9.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Norway,norway,prepaid,47,1.50,1.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Norway,norway,postpaid,47,1.50,1.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Norway - Special Service,norway-special-service,prepaid,47,2.50,2.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Norway - Special Service,norway-special-service,postpaid,47,2.50,2.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Oman,oman,prepaid,968,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Oman,oman,postpaid,968,1.80,1.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Pakistan,pakistan,prepaid,92,0.38,0.52,0.38,0.38,https://www.yes.my/roaming/
Yes,Pakistan,pakistan,postpaid,92,0.38,0.52,0.38,0.38,https://www.yes.my/roaming/
Yes,Palau,palau,prepaid,680,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Palau,palau,postpaid,680,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Palestine,palestine,prepaid,970,2.78,2.78,0.28,0.28,https://www.yes.my/roaming/
Yes,Palestine,palestine,postpaid,970,2.78,2.78,0.28,0.28,https://www.yes.my/roaming/
Yes,Panama,panama,prepaid,507,3.20,3.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Panama,panama,postpaid,507,3.20,3.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Papua New Guinea,papua-new-guinea,prepaid,675,15.00,15.00,0.28,0.28,https://www.yes.my/roaming/
Yes,Papua New Guinea,papua-new-guinea,postpaid,675,15.00,15.00,0.28,0.28,https://www.yes.my/roaming/
Yes,Paraguay,paraguay,prepaid,595,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Paraguay,paraguay,postpaid,595,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Peru,peru,prepaid,51,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Peru,peru,postpaid,51,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Philippines,philippines,prepaid,63,0.78,0.78,0.28,0.28,https://www.yes.my/roaming/
Yes,Philippines,philippines,postpaid,63,0.78,0.78,0.28,0.28,https://www.yes.my/roaming/
Yes,Poland,poland,prepaid,48,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Poland,poland,postpaid,48,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Portugal,portugal,prepaid,351,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Portugal,portugal,postpaid,351,2.78,2.78,0.48,0.48,https://www.yes.my/roaming/
Yes,Puerto Rico,puerto-rico,prepaid,1787 1939,0.50,0.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Puerto Rico,puerto-rico,postpaid,1787 1939,0.50,0.50,0.28,0.28,https://www.yes.my/roaming/
Yes,Qatar,qatar,prepaid,974,1.12,1.12,0.28,0.28,https://www.yes.my/roaming/
Yes,Qatar,qatar,postpaid,974,1.12,1.12,0.28,0.28,https://www.yes.my/roaming/
Yes,Reunion Mayotte,reunion-island,prepaid,262,3.00,3.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Reunion Mayotte,reunion-island,postpaid,262,3.00,3.00,0.48,0.48,https://www.yes.my/roaming/
Yes,Romania,romania,prepaid,40,2.15,2.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Romania,romania,postpaid,40,2.15,2.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Russian Federation,russian-federation,prepaid,7,11.30,11.30,0.48,0.48,https://www.yes.my/roaming/
Yes,Russian Federation,russian-federation,postpaid,7,11.30,11.30,0.48,0.48,https://www.yes.my/roaming/
Yes,Rwanda,rwanda,prepaid,250,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Rwanda,rwanda,postpaid,250,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,San Marino,san-marino,prepaid,378,11.50,11.50,0.48,0.48,https://www.yes.my/roaming/
Yes,San Marino,san-marino,postpaid,378,11.50,11.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Sao Tome & Principe,sao-tome-principe,prepaid,239,7.80,7.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Sao Tome & Principe,sao-tome-principe,postpaid,239,7.80,7.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Saudi Arabia,saudi-arabia,prepaid,966,5.20,5.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Saudi Arabia,saudi-arabia,postpaid,966,5.20,5.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Senegal,senegal,prepaid,221,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Senegal,senegal,postpaid,221,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Serbia,serbia,prepaid,381,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Serbia,serbia,postpaid,381,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Seychelles,seychelles,prepaid,248,3.70,3.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Seychelles,seychelles,postpaid,248,3.70,3.70,0.48,0.48,https://www.yes.my/roaming/
Yes,Sierra Leone,sierra-leone,prepaid,232,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Sierra Leone,sierra-leone,postpaid,232,2.80,2.80,0.38,0.38,https://www.yes.my/roaming/
Yes,Singapore,singapore,prepaid,65,0.18,0.27,0.18,0.18,https://www.yes.my/roaming/
Yes,Singapore,singapore,postpaid,65,0.18,0.27,0.18,0.18,https://www.yes.my/roaming/
Yes,Slovakia,slovakia,prepaid,421,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Slovakia,slovakia,postpaid,421,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Slovenia,slovenia,prepaid,386,2.40,2.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Slovenia,slovenia,postpaid,386,2.40,2.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Solomon Islands,solomon-islands,prepaid,677,11.15,11.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Solomon Islands,solomon-islands,postpaid,677,11.15,11.15,0.48,0.48,https://www.yes.my/roaming/
Yes,Somalia,somalia,prepaid,252,4.85,4.85,0.48,0.48,https://www.yes.my/roaming/
Yes,Somalia,somalia,postpaid,252,4.85,4.85,0.48,0.48,https://www.yes.my/roaming/
Yes,South Africa,south-africa,prepaid,27,2.38,2.38,0.48,0.48,https://www.yes.my/roaming/
Yes,South Africa,south-africa,postpaid,27,2.38,2.38,0.48,0.48,https://www.yes.my/roaming/
Yes,Spain,spain,prepaid,34,2.90,2.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Spain,spain,postpaid,34,2.90,2.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Sri Lanka,sri-lanka,prepaid,94,0.88,0.88,0.38,0.38,https://www.yes.my/roaming/
Yes,Sri Lanka,sri-lanka,postpaid,94,0.88,0.88,0.38,0.38,https://www.yes.my/roaming/
Yes,St. Helena,st-helena,prepaid,290,11.20,11.20,0.48,0.48,https://www.yes.my/roaming/
Yes,St. Helena,st-helena,postpaid,290,11.20,11.20,0.48,0.48,https://www.yes.my/roaming/
Yes,St. Kitts & Nevis,st-kitts-nevis,prepaid,1869,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,St. Kitts & Nevis,st-kitts-nevis,postpaid,1869,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,St. Lucia,st-lucia,prepaid,1758,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,St. Lucia,st-lucia,postpaid,1758,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,St. Pierre & Miquelon,st-pierre-miquelon,prepaid,508,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,St. Pierre & Miquelon,st-pierre-miquelon,postpaid,508,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,St. Vincent & the Grenadines,st-vincent-the-grenadines,prepaid,1784,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,St. Vincent & the Grenadines,st-vincent-the-grenadines,postpaid,1784,2.80,2.80,0.48,0.48,https://www.yes.my/roaming/
Yes,Sudan,sudan,prepaid,249,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Sudan,sudan,postpaid,249,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Surinam,surinam,prepaid,597,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Surinam,surinam,postpaid,597,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
