brand,country,country_slug,plan_type,countryCode,callRateFixed,callRateMobile,smsRate,sms_rate_myr,source_url
Yes,USA - Hawaii,usa-hawaii,prepaid,1808,0.18,0.18,0.28,0.28,https://www.yes.my/roaming/
Yes,USA - Hawaii,usa-hawaii,postpaid,1808,0.18,0.18,0.28,0.28,https://www.yes.my/roaming/
Yes,USA - Mainland,usa-mainland,prepaid,1,0.18,0.18,0.18,0.18,https://www.yes.my/roaming/
Yes,USA - Mainland,usa-mainland,postpaid,1,0.18,0.18,0.18,0.18,https://www.yes.my/roaming/
Yes,Uzbekistan,uzbekistan,prepaid,998,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Uzbekistan,uzbekistan,postpaid,998,2.20,2.20,0.28,0.28,https://www.yes.my/roaming/
Yes,Vanuatu,vanuatu,prepaid,678,7.90,7.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Vanuatu,vanuatu,postpaid,678,7.90,7.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Venezuela,venezuela,prepaid,58,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Venezuela,venezuela,postpaid,58,2.20,2.20,0.48,0.48,https://www.yes.my/roaming/
Yes,Vietnam,vietnam,prepaid,84,0.40,0.40,0.48,0.48,https://www.yes.my/roaming/
Yes,Vietnam,vietnam,postpaid,84,0.40,0.40,0.48,0.48,https://www.yes.my/roaming/
Yes,Wallis & Futuna,wallis-futuna,prepaid,681,8.50,8.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Wallis & Futuna,wallis-futuna,postpaid,681,8.50,8.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Western Samoa,western-samoa,prepaid,685,7.90,7.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Western Samoa,western-samoa,postpaid,685,7.90,7.90,0.48,0.48,https://www.yes.my/roaming/
Yes,Yemen,yemen,prepaid,967,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Yemen,yemen,postpaid,967,2.80,2.80,0.28,0.28,https://www.yes.my/roaming/
Yes,Zambia,zambia,prepaid,260,2.40,2.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Zambia,zambia,postpaid,260,2.40,2.40,0.28,0.28,https://www.yes.my/roaming/
Yes,Zimbabwe,zimbabwe,prepaid,263,2.50,2.50,0.48,0.48,https://www.yes.my/roaming/
Yes,Zimbabwe,zimbabwe,postpaid,263,2.50,2.50,0.48,0.48,https://www.yes.my/roaming/
