record_id,brand,country,region,plan_type,rate_per_min_myr,rate_fixed_per_min_myr,rate_per_sms_myr,notes,source_url,scraped_at
2412,U Mobile,Indonesia,Southeast Asia,prepaid,0.18,0.18,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2413,U Mobile,Iran,Middle East,postpaid,2.4,2.4,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2414,U Mobile,Iran,Middle East,prepaid,1.36,1.36,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2415,U Mobile,Iraq,Middle East,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2416,U Mobile,Iraq,Middle East,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2417,U Mobile,Ireland,Europe,postpaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2418,U Mobile,Ireland,Europe,prepaid,2.38,2.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2419,U Mobile,Isle of Man,Europe,postpaid,0.99,0.8,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2420,U Mobile,Isle of Man,Europe,prepaid,0.99,0.8,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2421,U Mobile,Israel,Middle East,postpaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2422,U Mobile,Israel,Middle East,prepaid,3.38,3.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2423,U Mobile,Italy,Europe,postpaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
2424,U Mobile,Italy,Europe,prepaid,1.38,1.38,0.35,,https://www.u.com.my/en/personal/mobile-plans/roam-travel/international-direct-dial,2026-05-17T16:33:39
